OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength,population
592,15104,BRADDOCK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.72386263,-79.83905753, ,4136,427,3564,145,254,1.9.3,10,{6FCB909B-8979-4323-8B89-4A7AD707C3BF},79297702.1,45881.64036,6020
678,15086,WARRENDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55494408,-79.70895869, ,157,0,93,64,229,1.9.3,10,{96EBB7AC-2CE6-404C-97A8-EBC16ADD2540},60175254.61,67641.13706,560
853,15142,PRESTO,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.64337237,-80.16605706, ,1037,0,919,118,30,1.9.3,5,{50A22C3C-87AF-4B8F-89F4-05FD32B80F25},55528134.8,56051.20417,1860
858,16056,SAXONBURG,NON-UNIQUE,PA,42,42019,BUTLER,160,40.46510414,-79.66682253, ,2291,249,1700,342,201,1.9.3,7,{C3794FFA-46DD-4A2F-A8FF-46BC033ED71B},4073627.661,10411.27277,4530
859,15068,NEW KENSINGTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.30204562,-79.70319636, ,17680,1375,15906,399,1146,1.9.3,12,{EEFF2771-2F98-48DE-9CAC-49F84B3E8679},265940330.6,106325.7101,32940
860,15005,BADEN,NON-UNIQUE,PA,42,42007,BEAVER,150,40.38481212,-79.71904635, ,4086,243,3793,50,176,1.9.3,12,{21A801BB-C8D9-4EE7-838E-52470EAEBC48},107502529,63765.7216,8750
882,15668,MURRYSVILLE,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.21590808,-79.74185899, ,5479,176,5150,153,580,1.9.3,11,{9F5E022A-36CD-4B19-9299-55001E2AD4DA},1415192.66,6827.402777,13210
883,15642,IRWIN,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.51234159,-80.37390453, ,18756,870,17657,229,1111,1.9.3,7,{94796352-FF04-4F83-8620-FCD7904D7C43},3219169.314,10178.42505,44170
884,15085,TRAFFORD,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.32301892,-80.18939955, ,3452,104,3305,43,189,1.9.3,5,{1EAD1C8E-705B-4221-B6BB-D28A573375AB},8007703.133,26498.62244,7480
886,15089,WEST NEWTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.33186282,-80.0828404, ,2881,139,2681,61,177,1.9.3,13,{17006982-B31E-4199-B529-CF78EB4BC0C1},9552768.355,16286.46805,5560
893,15026,CLINTON,NON-UNIQUE,PA,42,42007,BEAVER,150,40.23664564,-79.98846347, ,1457,0,1205,252,90,1.9.3,0,{060219CD-1215-491C-ADD3-15E31994CA1A},146116693.7,94686.86476,4040
900,15321,CECIL,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.20063939,-79.92817274, ,796,0,658,138,74,1.9.3,10,{E0DC3A5E-59AC-4686-BD65-AB36B2F6AF97},2168855.931,6296.99797,1610
903,15241,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.39597226,-80.01427671, ,7820,658,7027,135,888,1.9.3,15,{AEE5E07F-EF87-4E93-90E0-F7E81B93CA30},277911662.2,103637.9258,22040
905,15332,FINLEYVILLE,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.398646,-79.933936, ,3572,106,3403,63,164,1.9.3,5,{B42E936B-EC34-4D0B-A442-5BAA8E985422},96437017.33,68925.21363,7490
908,15063,MONONGAHELA,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.63261124,-79.83747527, ,5130,157,4851,122,339,1.9.3,11,{00DD3ADA-FF13-44A8-910C-B7C4BAA97BD8},352188228.4,123907.9413,9830
